Game ID,Date,Team_L,PTS_L,Racha_L,Team_V,PTS_V,Racha_V,Cuota_L,Cuota_V,Victoria_Local,PTS_Diff,MP,FG_L,FGA_L,FG%_L,2P_L,2PA_L,2P%_L,3P_L,3PA_L,3P%_L,FT_L,FTA_L,FT%_L,ORB_L,DRB_L,TRB_L,AST_L,STL_L,BLK_L,TOV_L,PF_L,FG_V,FGA_V,FG%_V,2P_V,2PA_V,2P%_V,3P_V,3PA_V,3P%_V,FT_V,FTA_V,FT%_V,ORB_V,DRB_V,TRB_V,AST_V,STL_V,BLK_V,TOV_V,PF_V
Fri_Apr_12_2024_Boston Celtics,2023-10-25,Charlotte Hornets,98,-1,Boston Celtics,131,1,2.47,1.57,0,-33,240,32,76,0.421,17,41,0.4146341463414634,15,35,0.429,19,22,0.864,4,29,33,20,3,7,20,15,54,104,0.519,40,63,0.6349206349206349,14,41,0.341,9,13,0.692,16,37,53,34,12,1,6,20
Fri_Apr_12_2024_Cleveland Cavaliers,2023-10-25,Indiana Pacers,120,-1,Cleveland Cavaliers,129,1,1.51,2.61,0,-9,240,46,89,0.517,37,57,0.6491228070175439,9,32,0.281,19,22,0.864,7,32,39,37,7,2,14,17,50,95,0.526,37,63,0.5873015873015873,13,32,0.406,16,23,0.696,11,30,41,28,9,2,11,14
Fri_Apr_12_2024_Dallas Mavericks,2023-10-27,Dallas Mavericks,89,-1,Detroit Pistons,107,1,1.43,2.91,0,-18,240,36,83,0.434,28,54,0.5185185185185185,8,29,0.276,9,12,0.75,9,40,49,20,5,5,20,9,46,95,0.484,38,64,0.59375,8,31,0.258,7,9,0.778,6,34,40,23,11,7,7,10
Fri_Apr_12_2024_Golden State Warriors,2023-10-24,Golden State Warriors,109,-1,New Orleans Pelicans,114,1,1.69,2.21,0,-5,240,40,86,0.465,27,52,0.5192307692307693,13,34,0.382,16,21,0.762,11,42,53,27,6,5,16,15,42,90,0.467,22,52,0.4230769230769231,20,38,0.526,10,16,0.625,5,33,38,24,11,5,9,13
Fri_Apr_12_2024_Los Angeles Clippers,2023-10-25,Utah Jazz,110,1,Los Angeles Clippers,109,-1,2.04,1.8,1,1,240,41,88,0.466,35,53,0.660377358490566,6,35,0.171,22,25,0.88,14,32,46,26,7,4,18,14,43,96,0.448,33,57,0.5789473684210527,10,39,0.256,13,19,0.684,20,24,44,23,9,7,13,17
Fri_Apr_12_2024_Memphis Grizzlies,2023-10-26,Los Angeles Lakers,123,1,Memphis Grizzlies,120,-1,1.41,3.0,1,3,240,42,81,0.519,29,44,0.6590909090909091,13,37,0.351,26,34,0.765,10,29,39,25,5,6,19,17,43,95,0.453,26,56,0.4642857142857143,17,39,0.436,17,21,0.81,16,26,42,19,14,2,15,27
Fri_Apr_12_2024_Miami Heat,2023-10-25,Toronto Raptors,103,-1,Miami Heat,125,1,1.86,1.94,0,-22,240,37,77,0.481,27,46,0.5869565217391305,10,31,0.323,19,22,0.864,7,34,41,23,1,1,17,21,45,86,0.523,28,45,0.6222222222222222,17,41,0.415,18,23,0.783,6,31,37,37,7,2,7,16
Fri_Apr_12_2024_Minnesota Timberwolves,2023-10-27,Atlanta Hawks,106,-1,Minnesota Timberwolves,109,1,1.93,1.89,0,-3,240,40,90,0.444,31,60,0.5166666666666667,9,30,0.3,17,25,0.68,9,31,40,23,4,1,15,25,38,79,0.481,28,42,0.6666666666666666,10,37,0.27,23,29,0.793,7,37,44,29,8,11,14,22
Fri_Apr_12_2024_New York Knicks,2023-10-25,New York Knicks,111,1,Brooklyn Nets,107,-1,2.44,1.58,1,4,240,38,83,0.458,24,53,0.4528301886792453,14,30,0.467,21,25,0.84,8,23,31,21,10,3,5,15,41,82,0.5,30,50,0.6,11,32,0.344,14,19,0.737,16,29,45,22,3,4,14,19
Fri_Apr_12_2024_Oklahoma City Thunder,2023-10-26,Milwaukee Bucks,107,-1,Oklahoma City Thunder,125,1,1.4,2.99,0,-18,240,42,85,0.494,31,55,0.5636363636363636,11,30,0.367,12,13,0.923,8,34,42,27,7,3,19,15,47,89,0.528,34,51,0.6666666666666666,13,38,0.342,18,20,0.9,8,30,38,29,13,5,10,12
Fri_Apr_12_2024_Philadelphia 76ers,2023-10-29,Philadelphia 76ers,125,1,Orlando Magic,113,-1,1.24,4.21,1,12,240,42,88,0.477,24,51,0.47058823529411764,18,37,0.486,23,28,0.821,8,36,44,22,6,6,13,20,43,95,0.453,35,68,0.5147058823529411,8,27,0.296,19,25,0.76,10,35,45,25,7,7,11,21
Fri_Apr_12_2024_Portland Trail Blazers,2023-10-29,Houston Rockets,116,1,Portland Trail Blazers,107,-1,3.17,1.37,1,9,240,44,92,0.478,33,53,0.6226415094339622,11,39,0.282,17,20,0.85,10,38,48,25,3,5,9,20,37,95,0.389,25,60,0.4166666666666667,12,35,0.343,21,29,0.724,16,32,48,20,4,5,7,14
Fri_Apr_12_2024_Sacramento Kings,2023-10-27,Sacramento Kings,107,-1,Phoenix Suns,108,1,1.67,2.27,0,-1,240,40,91,0.44,26,53,0.49056603773584906,14,38,0.368,13,14,0.929,9,26,35,26,12,1,7,19,40,76,0.526,28,44,0.6363636363636364,12,32,0.375,16,17,0.941,6,35,41,25,4,4,19,16
