Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena
"Tue, Oct 19, 2021",7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,https://www.basketball-reference.com/boxscores/202110190MIL.html,"17,341",2:20,Fiserv Forum
"Tue, Oct 19, 2021",10:00p,Golden State Warriors,121,Los Angeles Lakers,114,https://www.basketball-reference.com/boxscores/202110190LAL.html,"18,997",2:33,Crypto.com Arena
"Wed, Oct 20, 2021",7:00p,Indiana Pacers,122,Charlotte Hornets,123,https://www.basketball-reference.com/boxscores/202110200CHO.html,"15,521",2:20,Spectrum Center
"Wed, Oct 20, 2021",7:00p,Chicago Bulls,94,Detroit Pistons,88,https://www.basketball-reference.com/boxscores/202110200DET.html,"20,088",2:09,Little Caesars Arena
"Wed, Oct 20, 2021",7:30p,Boston Celtics,134,New York Knicks,138,https://www.basketball-reference.com/boxscores/202110200NYK.html,"19,812",2:54,Madison Square Garden (IV)
"Wed, Oct 20, 2021",7:30p,Washington Wizards,98,Toronto Raptors,83,https://www.basketball-reference.com/boxscores/202110200TOR.html,"19,800",2:15,Scotiabank Arena
"Wed, Oct 20, 2021",8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,https://www.basketball-reference.com/boxscores/202110200MEM.html,"15,975",2:07,FedEx Forum
"Wed, Oct 20, 2021",8:00p,Houston Rockets,106,Minnesota Timberwolves,124,https://www.basketball-reference.com/boxscores/202110200MIN.html,"16,079",2:12,Target Center
"Wed, Oct 20, 2021",8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,https://www.basketball-reference.com/boxscores/202110200NOP.html,"12,845",2:04,Smoothie King Center
"Wed, Oct 20, 2021",8:30p,Orlando Magic,97,San Antonio Spurs,123,https://www.basketball-reference.com/boxscores/202110200SAS.html,"16,697",2:13,AT&T Center
"Wed, Oct 20, 2021",9:00p,Oklahoma City Thunder,86,Utah Jazz,107,https://www.basketball-reference.com/boxscores/202110200UTA.html,"18,306",2:04,Vivint Smart Home Arena
"Wed, Oct 20, 2021",10:00p,Sacramento Kings,124,Portland Trail Blazers,121,https://www.basketball-reference.com/boxscores/202110200POR.html,"17,467",2:18,Moda Center
"Wed, Oct 20, 2021",10:00p,Denver Nuggets,110,Phoenix Suns,98,https://www.basketball-reference.com/boxscores/202110200PHO.html,"16,074",2:09,Phoenix Suns Arena
"Thu, Oct 21, 2021",7:30p,Dallas Mavericks,87,Atlanta Hawks,113,https://www.basketball-reference.com/boxscores/202110210ATL.html,"17,162",2:08,State Farm Arena
"Thu, Oct 21, 2021",8:00p,Milwaukee Bucks,95,Miami Heat,137,https://www.basketball-reference.com/boxscores/202110210MIA.html,"19,600",2:21,FTX Arena
"Thu, Oct 21, 2021",10:00p,Los Angeles Clippers,113,Golden State Warriors,115,https://www.basketball-reference.com/boxscores/202110210GSW.html,"18,064",2:28,Chase Center
"Fri, Oct 22, 2021",7:00p,New York Knicks,121,Orlando Magic,96,https://www.basketball-reference.com/boxscores/202110220ORL.html,"18,846",2:06,Amway Center
"Fri, Oct 22, 2021",7:00p,Indiana Pacers,134,Washington Wizards,135,https://www.basketball-reference.com/boxscores/202110220WAS.html,"15,407",2:32,Capital One Arena
"Fri, Oct 22, 2021",7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,https://www.basketball-reference.com/boxscores/202110220CLE.html,"17,116",2:05,Rocket Mortgage Fieldhouse
"Fri, Oct 22, 2021",7:30p,Toronto Raptors,115,Boston Celtics,83,https://www.basketball-reference.com/boxscores/202110220BOS.html,"19,156",2:05,TD Garden
"Fri, Oct 22, 2021",7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,https://www.basketball-reference.com/boxscores/202110220PHI.html,"20,367",2:21,Wells Fargo Center
"Fri, Oct 22, 2021",8:00p,Oklahoma City Thunder,91,Houston Rockets,124,https://www.basketball-reference.com/boxscores/202110220HOU.html,"15,674",2:02,Toyota Center
"Fri, Oct 22, 2021",8:00p,New Orleans Pelicans,112,Chicago Bulls,128,https://www.basketball-reference.com/boxscores/202110220CHI.html,"20,995",2:04,United Center
"Fri, Oct 22, 2021",9:00p,San Antonio Spurs,96,Denver Nuggets,102,https://www.basketball-reference.com/boxscores/202110220DEN.html,"19,520",2:07,Ball Arena
"Fri, Oct 22, 2021",10:00p,Phoenix Suns,115,Los Angeles Lakers,105,https://www.basketball-reference.com/boxscores/202110220LAL.html,"18,997",2:25,Crypto.com Arena
"Fri, Oct 22, 2021",10:00p,Utah Jazz,110,Sacramento Kings,101,https://www.basketball-reference.com/boxscores/202110220SAC.html,"17,583",2:18,Golden 1 Center
"Sat, Oct 23, 2021",6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,https://www.basketball-reference.com/boxscores/202110230CLE.html,"16,846",2:14,Rocket Mortgage Fieldhouse
"Sat, Oct 23, 2021",7:00p,Miami Heat,91,Indiana Pacers,102,https://www.basketball-reference.com/boxscores/202110230IND.html,"17,147",2:32,Gainbridge Fieldhouse
"Sat, Oct 23, 2021",7:30p,Dallas Mavericks,103,Toronto Raptors,95,https://www.basketball-reference.com/boxscores/202110230TOR.html,"19,800",2:13,Scotiabank Arena
"Sat, Oct 23, 2021",8:00p,Detroit Pistons,82,Chicago Bulls,97,https://www.basketball-reference.com/boxscores/202110230CHI.html,"18,888",2:11,United Center
"Sat, Oct 23, 2021",8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,https://www.basketball-reference.com/boxscores/202110230MIN.html,"15,343",2:20,Target Center
"Sat, Oct 23, 2021",8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,https://www.basketball-reference.com/boxscores/202110230SAS.html,"14,353",2:09,AT&T Center
"Sat, Oct 23, 2021",10:00p,Phoenix Suns,105,Portland Trail Blazers,134,https://www.basketball-reference.com/boxscores/202110230POR.html,"18,558",1:59,Moda Center
"Sat, Oct 23, 2021",10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,https://www.basketball-reference.com/boxscores/202110230LAC.html,"16,748",2:13,Crypto.com Arena
"Sun, Oct 24, 2021",4:00p,Charlotte Hornets,111,Brooklyn Nets,95,https://www.basketball-reference.com/boxscores/202110240BRK.html,"17,732",2:02,Barclays Center
"Sun, Oct 24, 2021",7:00p,Boston Celtics,107,Houston Rockets,97,https://www.basketball-reference.com/boxscores/202110240HOU.html,"16,069",2:14,Toyota Center
"Sun, Oct 24, 2021",7:00p,Orlando Magic,110,New York Knicks,104,https://www.basketball-reference.com/boxscores/202110240NYK.html,"16,273",2:23,Madison Square Garden (IV)
"Sun, Oct 24, 2021",7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,https://www.basketball-reference.com/boxscores/202110240OKC.html,"14,256",2:06,Paycom Center
"Sun, Oct 24, 2021",9:00p,Golden State Warriors,119,Sacramento Kings,107,https://www.basketball-reference.com/boxscores/202110240SAC.html,"13,876",2:17,Golden 1 Center
"Sun, Oct 24, 2021",9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,https://www.basketball-reference.com/boxscores/202110240LAL.html,"18,997",2:24,Crypto.com Arena
"Mon, Oct 25, 2021",7:00p,Boston Celtics,140,Charlotte Hornets,129,https://www.basketball-reference.com/boxscores/202110250CHO.html,"17,238",2:29,Spectrum Center
"Mon, Oct 25, 2021",7:00p,Milwaukee Bucks,119,Indiana Pacers,109,https://www.basketball-reference.com/boxscores/202110250IND.html,"10,339",2:23,Gainbridge Fieldhouse
"Mon, Oct 25, 2021",7:30p,Chicago Bulls,111,Toronto Raptors,108,https://www.basketball-reference.com/boxscores/202110250TOR.html,"19,800",2:16,Scotiabank Arena
"Mon, Oct 25, 2021",7:30p,Orlando Magic,90,Miami Heat,107,https://www.basketball-reference.com/boxscores/202110250MIA.html,"19,600",2:12,FTX Arena
"Mon, Oct 25, 2021",7:30p,Washington Wizards,90,Brooklyn Nets,104,https://www.basketball-reference.com/boxscores/202110250BRK.html,"14,487",2:06,Barclays Center
"Mon, Oct 25, 2021",7:30p,Detroit Pistons,104,Atlanta Hawks,122,https://www.basketball-reference.com/boxscores/202110250ATL.html,"14,209",2:04,State Farm Arena
"Mon, Oct 25, 2021",8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,https://www.basketball-reference.com/boxscores/202110250MIN.html,"14,435",2:14,Target Center
"Mon, Oct 25, 2021",9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,https://www.basketball-reference.com/boxscores/202110250DEN.html,"14,221",2:06,Ball Arena
"Mon, Oct 25, 2021",10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,https://www.basketball-reference.com/boxscores/202110250LAC.html,"15,672",2:10,Crypto.com Arena
"Tue, Oct 26, 2021",7:30p,Philadelphia 76ers,99,New York Knicks,112,https://www.basketball-reference.com/boxscores/202110260NYK.html,"15,218",2:16,Madison Square Garden (IV)
"Tue, Oct 26, 2021",8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,https://www.basketball-reference.com/boxscores/202110260OKC.html,0,2:11,Paycom Center
"Tue, Oct 26, 2021",8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,https://www.basketball-reference.com/boxscores/202110260SAS.html,"18,354",2:26,AT&T Center
"Tue, Oct 26, 2021",8:30p,Houston Rockets,106,Dallas Mavericks,116,https://www.basketball-reference.com/boxscores/202110260DAL.html,"19,337",2:11,American Airlines Center
"Tue, Oct 26, 2021",10:00p,Denver Nuggets,110,Utah Jazz,122,https://www.basketball-reference.com/boxscores/202110260UTA.html,"18,306",2:28,Vivint Smart Home Arena
"Wed, Oct 27, 2021",7:00p,Charlotte Hornets,120,Orlando Magic,111,https://www.basketball-reference.com/boxscores/202110270ORL.html,"14,082",2:11,Amway Center
"Wed, Oct 27, 2021",7:30p,Washington Wizards,116,Boston Celtics,107,https://www.basketball-reference.com/boxscores/202110270BOS.html,"19,156",2:18,TD Garden
"Wed, Oct 27, 2021",7:30p,Miami Heat,106,Brooklyn Nets,93,https://www.basketball-reference.com/boxscores/202110270BRK.html,"17,732",2:13,Barclays Center
"Wed, Oct 27, 2021",7:30p,Indiana Pacers,100,Toronto Raptors,118,https://www.basketball-reference.com/boxscores/202110270TOR.html,"19,800",2:14,Scotiabank Arena
"Wed, Oct 27, 2021",7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,https://www.basketball-reference.com/boxscores/202110270NOP.html,"15,541",2:16,Smoothie King Center
