Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena,Game ID,Cuota_L,Cuota_V
"Tue, Oct 19, 2021",7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,https://www.basketball-reference.com/boxscores/202110190MIL.html,"17,341",2:20,Fiserv Forum,Tue_Oct_19_2021_Milwaukee_Bucks,,
"Tue, Oct 19, 2021",10:00p,Golden State Warriors,121,Los Angeles Lakers,114,https://www.basketball-reference.com/boxscores/202110190LAL.html,"18,997",2:33,Crypto.com Arena,Tue_Oct_19_2021_Los_Angeles_Lakers,,
"Wed, Oct 20, 2021",7:00p,Indiana Pacers,122,Charlotte Hornets,123,https://www.basketball-reference.com/boxscores/202110200CHO.html,"15,521",2:20,Spectrum Center,Wed_Oct_20_2021_Charlotte_Hornets,,
"Wed, Oct 20, 2021",7:00p,Chicago Bulls,94,Detroit Pistons,88,https://www.basketball-reference.com/boxscores/202110200DET.html,"20,088",2:09,Little Caesars Arena,Wed_Oct_20_2021_Detroit_Pistons,,
"Wed, Oct 20, 2021",7:30p,Boston Celtics,134,New York Knicks,138,https://www.basketball-reference.com/boxscores/202110200NYK.html,"19,812",2:54,Madison Square Garden (IV),Wed_Oct_20_2021_New_York_Knicks,,
"Wed, Oct 20, 2021",7:30p,Washington Wizards,98,Toronto Raptors,83,https://www.basketball-reference.com/boxscores/202110200TOR.html,"19,800",2:15,Scotiabank Arena,Wed_Oct_20_2021_Toronto_Raptors,,
"Wed, Oct 20, 2021",8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,https://www.basketball-reference.com/boxscores/202110200MEM.html,"15,975",2:07,FedEx Forum,Wed_Oct_20_2021_Memphis_Grizzlies,,
"Wed, Oct 20, 2021",8:00p,Houston Rockets,106,Minnesota Timberwolves,124,https://www.basketball-reference.com/boxscores/202110200MIN.html,"16,079",2:12,Target Center,Wed_Oct_20_2021_Minnesota_Timberwolves,,
"Wed, Oct 20, 2021",8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,https://www.basketball-reference.com/boxscores/202110200NOP.html,"12,845",2:04,Smoothie King Center,Wed_Oct_20_2021_New_Orleans_Pelicans,,
"Wed, Oct 20, 2021",8:30p,Orlando Magic,97,San Antonio Spurs,123,https://www.basketball-reference.com/boxscores/202110200SAS.html,"16,697",2:13,AT&T Center,Wed_Oct_20_2021_San_Antonio_Spurs,,
"Wed, Oct 20, 2021",9:00p,Oklahoma City Thunder,86,Utah Jazz,107,https://www.basketball-reference.com/boxscores/202110200UTA.html,"18,306",2:04,Vivint Smart Home Arena,Wed_Oct_20_2021_Utah_Jazz,,
"Wed, Oct 20, 2021",10:00p,Sacramento Kings,124,Portland Trail Blazers,121,https://www.basketball-reference.com/boxscores/202110200POR.html,"17,467",2:18,Moda Center,Wed_Oct_20_2021_Portland_Trail_Blazers,,
"Wed, Oct 20, 2021",10:00p,Denver Nuggets,110,Phoenix Suns,98,https://www.basketball-reference.com/boxscores/202110200PHO.html,"16,074",2:09,Phoenix Suns Arena,Wed_Oct_20_2021_Phoenix_Suns,,
"Thu, Oct 21, 2021",7:30p,Dallas Mavericks,87,Atlanta Hawks,113,https://www.basketball-reference.com/boxscores/202110210ATL.html,"17,162",2:08,State Farm Arena,Thu_Oct_21_2021_Atlanta_Hawks,,
"Thu, Oct 21, 2021",8:00p,Milwaukee Bucks,95,Miami Heat,137,https://www.basketball-reference.com/boxscores/202110210MIA.html,"19,600",2:21,FTX Arena,Thu_Oct_21_2021_Miami_Heat,,
"Thu, Oct 21, 2021",10:00p,Los Angeles Clippers,113,Golden State Warriors,115,https://www.basketball-reference.com/boxscores/202110210GSW.html,"18,064",2:28,Chase Center,Thu_Oct_21_2021_Golden_State_Warriors,,
"Fri, Oct 22, 2021",7:00p,New York Knicks,121,Orlando Magic,96,https://www.basketball-reference.com/boxscores/202110220ORL.html,"18,846",2:06,Amway Center,Fri_Oct_22_2021_Orlando_Magic,,
"Fri, Oct 22, 2021",7:00p,Indiana Pacers,134,Washington Wizards,135,https://www.basketball-reference.com/boxscores/202110220WAS.html,"15,407",2:32,Capital One Arena,Fri_Oct_22_2021_Washington_Wizards,,
"Fri, Oct 22, 2021",7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,https://www.basketball-reference.com/boxscores/202110220CLE.html,"17,116",2:05,Rocket Mortgage Fieldhouse,Fri_Oct_22_2021_Cleveland_Cavaliers,,
"Fri, Oct 22, 2021",7:30p,Toronto Raptors,115,Boston Celtics,83,https://www.basketball-reference.com/boxscores/202110220BOS.html,"19,156",2:05,TD Garden,Fri_Oct_22_2021_Boston_Celtics,,
"Fri, Oct 22, 2021",7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,https://www.basketball-reference.com/boxscores/202110220PHI.html,"20,367",2:21,Wells Fargo Center,Fri_Oct_22_2021_Philadelphia_76ers,,
"Fri, Oct 22, 2021",8:00p,Oklahoma City Thunder,91,Houston Rockets,124,https://www.basketball-reference.com/boxscores/202110220HOU.html,"15,674",2:02,Toyota Center,Fri_Oct_22_2021_Houston_Rockets,,
"Fri, Oct 22, 2021",8:00p,New Orleans Pelicans,112,Chicago Bulls,128,https://www.basketball-reference.com/boxscores/202110220CHI.html,"20,995",2:04,United Center,Fri_Oct_22_2021_Chicago_Bulls,,
"Fri, Oct 22, 2021",9:00p,San Antonio Spurs,96,Denver Nuggets,102,https://www.basketball-reference.com/boxscores/202110220DEN.html,"19,520",2:07,Ball Arena,Fri_Oct_22_2021_Denver_Nuggets,,
"Fri, Oct 22, 2021",10:00p,Phoenix Suns,115,Los Angeles Lakers,105,https://www.basketball-reference.com/boxscores/202110220LAL.html,"18,997",2:25,Crypto.com Arena,Fri_Oct_22_2021_Los_Angeles_Lakers,,
"Fri, Oct 22, 2021",10:00p,Utah Jazz,110,Sacramento Kings,101,https://www.basketball-reference.com/boxscores/202110220SAC.html,"17,583",2:18,Golden 1 Center,Fri_Oct_22_2021_Sacramento_Kings,,
